,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
661,PIPE RING,PIPE RNG,P RING,P RNG,PIPE RETAINING RING,PIPE RETENTION RING,PIPE R/R,P R/R,PIPING RING,P.RING,P.RNG,,,,,,,,,,,,
662,SOCKET,SKT,SOCKT,SOC,S,SCKT,SKT FTG,SOCKET FITTING,SOCKET FTG,SOC FTG,S FTG,,,,,,,,,,,,
663,SPLIT PIPE RING,SPR,SPLIT RING,SPLIT PIPE CLAMP,SPLIT RING CLAMP,PIPE SPLIT RING,S.P.R.,SPLIT-PIPE RING,SPLIT-RING,SPLIT P RING,SP RING,,,,,,,,,,,,
664,SPLIT RING,SPL RNG,SP RNG,SPLIT RNG,SPL RING,SP RING,S/R,S.R.,SPLT RNG,SPLT RING,S RING,,,,,,,,,,,,
665,SPLIT PIPE,SPLIT PIPE FITTING,SPL PIPE,SPLIT PP,SP PIPE,SPLIT PIP,SPL PIP,SPLIT-PIPE,SPLIT/PIPE,S/PIPE,SP/PIPE,,,,,,,,,,,,
666,SWIVEL SPLIT RING,SWVL SPLT RNG,SWVL SPLIT RNG,SWV SPLT RNG,SWVL S/R,SWVL SR,SWIVEL SR,SWIVEL S/R,SWV SR,SWV S/R,SWVL SPLIT RING,,,,,,,,,,,,
667,GAS PIPE,GP,G PIPE,GAS PIP,G.P.,GAS LINE,GASLINE,G-PIPE,G/P,GAS P,G LINE,,,,,,,,,,,,
668,3-WAY SOLENOID,3WAY SOLENOID,THREE WAY SOLENOID,3-WAY SOL,3WAY SOL,THREE WAY SOL,3 WAY SOLENOID,3W SOLENOID,3W SOL,3-WAY SOLENOID VALVE,3WAY SOLENOID VLV,,,,,,,,,,,,
669,505. 45 DEGREE GROOVE FITTING,505. 45 DEG GROOVE FTG,505. 45° GROOVE FTG,505. 45 DEGREE GRV FTG,505. 45° GRV FTG,505. 45 DEG GRV FITTING,505. 45 GROOVE,505. 45° GRV,505. 45 GRV,505. 45 FTG,505. GROOVE 45,,,,,,,,,,,,
670,4-WAY,FOUR WAY,FOUR-WAY,4 WAY,4WAY,FOUR-WAY CROSS,4-WAY CROSS,4 WAY CROSS,FOURWAY,4-WAY CROSSING,FOUR WAY CROSS,,,,,,,,,,,,
671,ADAPTER SLEEVE,ADPT SLV,ADAPT SLV,ADPTR SLEEVE,ADAPTER SLV,ADPT SLEEVE,ADP SLV,ADPT SLVE,ADAPT SLEEVE,ADPTR SLV,ADP SLEEVE,,,,,,,,,,,,
672,ADHESIVE,ADHSV,ADH,ADHES,ADHESV,BONDING AGENT,BOND AGENT,GLUE,CEMENT,SEALANT,EPOXY,,,,,,,,,,,,
673,ADJUSTABLE ANGLE THERMOMETER,ADJ ANGLE THERM,ADJ ANG THERM,ADJUST ANGLE THERM,ADJ-ANGLE THERMOMETER,ADJUSTABLE THERM,ADJ THERMOMETER,ADJ-ANG THERM,ADJUST-ANGLE THERM,AAT,ADJ A THERM,,,,,,,,,,,,
674,ADJUSTABLE WRENCH,ADJ WRENCH,ADJUSTABLE SPANNER,ADJ SPANNER,CRESCENT WRENCH,MONKEY WRENCH,SHIFTING SPANNER,ADJ-WRENCH,ADJ. WRENCH,ADJUST WRENCH,ADJUSTABLE-WRENCH,,,,,,,,,,,,
675,AGS,AUTOMATIC GAUGE SWITCH,AUTO GAUGE SWITCH,AUTO GAGE SWITCH,AUTOMATIC GAGE SWITCH,AGS SWITCH,A.G.S.,A-G-S,A/G/S,AUTO G SWITCH,A G S,,,,,,,,,,,,
676,512. AIR AND VACUUM VALVE,AIR & VACUUM VALVE,AIR/VACUUM VALVE,A&V VALVE,A/V VALVE,AIR & VAC VLV,AIR/VAC VLV,A&V VLV,A/V VLV,512 A&V VALVE,512 AIR/VAC VALVE,,,,,,,,,,,,
677,AIR KING,AIR KNG,A/KING,A KING,A-KING,A.KING,AIR-KING,A/K,A.K.,AK,A-K,,,,,,,,,,,,
678,ALL THREAD ROD,ATR,A/T ROD,ALL-THREAD,THREADED ROD,A.T.R.,ALL THD ROD,FULL THREAD ROD,CONTINUOUS THREAD ROD,FULLY THREADED ROD,THD ROD,,,,,,,,,,,,
679,ANGLE STOP,ANG STOP,ANGLE STP,ANG STP,ANGL STOP,ANGL STP,A STOP,A STP,ASTOP,ASTP,A-STOP,,,,,,,,,,,,
680,ATTACHMENT SET,ATTACH SET,ATTCH SET,ATTACHMT SET,ATT SET,ATCH SET,SET ATTACH,SET ATTCH,ATTACHMENT KIT,ATTACH KIT,ATTCH KIT,,,,,,,,,,,,
681,ATTACHMENT WELD BEAM,ATT WELD BEAM,ATTACH WELD BEAM,ATT W BEAM,ATTACHMENT W BEAM,ATTACH W BEAM,ATT WLD BEAM,ATTACHMENT WLD BEAM,ATTACH WLD BEAM,AWB,A.W.B.,,,,,,,,,,,,
682,BAND,BANDING,BND,STRAP,PIPE BAND,STAINLESS BAND,SS BAND,METAL BAND,STEEL BAND,CLAMP BAND,STRAPPING,,,,,,,,,,,,
683,BELBOW MALE ADAPTER,BELBOW M ADPT,BELBOW MALE ADPT,BELBOW M ADP,BELBOW MA,B-ELBOW MALE ADAPTER,B-ELBOW M ADPT,BELB M ADPT,BELB MA,BELBOW M,B-ELB MALE ADPT,,,,,,,,,,,,
684,BELBOW X MALE ADAPTER,BELBOW X MAD,BELB X MALE ADPT,BELB X MA,BE X MALE ADAPTER,BELBOW X M ADPTR,B/E X MALE ADPTR,BELB X M AD,BE X MAD,BELBOW TO MALE,BE-MA,,,,,,,,,,,,
685,BELL ADAPTER,BELL ADPT,BLL ADPTR,BELL ADAPTR,BLL ADAPTER,BELL-ADAPTER,BELL-ADPT,B-ADAPTER,B ADPT,BELL ADAPT,B-ADPTR,,,,,,,,,,,,
686,BOLT,BLT,FASTENER,FSTNR,B,BLTS,BOLTG,BOLT ASSY,BOLT ASSEMBLY,BOLT FAS,BOLTING,,,,,,,,,,,,
687,BOLT AND NUT,B&N,BLT & NUT,BOLT & NUT,BOLT/NUT,B/N,BOLT W/NUT,BOLT WITH NUT,BN,BOLT+NUT,BOLT-NUT,,,,,,,,,,,,
688,BOLT AND NUT SET,B&N SET,BOLT & NUT SET,BOLT/NUT SET,B/N SET,BOLT NUT ASSEMBLY,BOLT AND NUT ASSEMBLY,FASTENER SET,BOLT NUT SET,B AND N SET,STUD BOLT AND NUT SET,,,,,,,,,,,,
689,BOLT WITH NUT,BOLT W/NUT,BOLT & NUT,BLT W/NUT,BLT & NUT,BOLT AND NUT,B/W NUT,BOLT/NUT,BLT/NUT,B&N,B/N,,,,,,,,,,,,
690,BONNET,BON,BNT,VALVE BONNET,VLV BONNET,BONNET ASSY,BONNET ASSEMBLY,VALVE BON,VLV BON,BONNETT,BONET,,,,,,,,,,,,
691,BOSS COUPLING,BOSS CPLG,BOSS CPLNG,BSS COUPLING,BSS CPLG,BSS CPLNG,BOSS-CPLG,BOSS-CPLNG,BSS-CPLG,BSS-CPLNG,BOSS CPL,,,,,,,,,,,,
692,BOSS HOSE ADAPTER,BOSS HSE ADPTR,BHA,BOSS-HOSE ADPTR,BOSS/HOSE ADAPTER,BOSS TO HOSE ADAPTER,BOSS-HOSE FITTING,BOSS X HOSE ADAPTER,BOSS/HSE ADPTR,BOSS-HSE-ADPTR,BOSS HOSE FITTING,,,,,,,,,,,,
693,BOSS STEM,BS STEM,BOSS STM,BS STM,BOSS STEEM,BOSS,B STEM,BOSS-STEM,B/S STEM,B.S. STEM,B-STEM,,,,,,,,,,,,
694,BRACKET,BRKT,BRACK,BRCKT,BKT,BRACKET SUPPORT,BRAC,BRKT SUPP,BKT SUPP,BRKT SUPPORT,MOUNTING BRACKET,,,,,,,,,,,,
695,BULKHEAD ELBOW ADAPTER,BLKHD ELB ADPTR,BLKHD ELL ADPTR,BH ELB ADPTR,BH ELL ADPTR,BLKHD ELBOW ADP,BULKHEAD ELB ADP,BLKHD ELL ADP,BH ELBOW ADP,BULKHEAD ADAPTER,BH ELL ADP,,,,,,,,,,,,
696,CABLE KIT,CBL KIT,CBLE KIT,CABLE ASSY,CABLE ASSEMBLY,CBL ASSY,CBL SET,CABLE SET,CBLE SET,CABLE PACKAGE,CBL PKG,,,,,,,,,,,,
697,CALIBRATED FITTING,CAL FIT,CALIB FTG,CALIBR FTG,CAL FTG,CALIBRATED FTG,CALIB FITTING,CALIBR FITTING,CAL. FIT,CAL. FTG,CALIBR. FTG,,,,,,,,,,,,
698,CARRIAGE BOLT,CARR BOLT,CAR BOLT,CRGE BOLT,CARR BLT,CAR BLT,CB,CRBLT,C-BOLT,C BLT,CARRIAGE,,,,,,,,,,,,
699,CAULK GUN,CAULKING GUN,CLK GUN,SEALANT GUN,CAULKER,CAULK APPLICATOR,SEALANT APPLICATOR,CLK APPLICATOR,ADHESIVE GUN,SEALING GUN,CAULK DISPENSER,,,,,,,,,,,,
700,CHAIN,CHN,CAIN,CH,CHANE,CHAINE,CHAN,CHAYN,C-CHAIN,CH-N,CHNN,,,,,,,,,,,,
701,CHAMFER TOOL,CHAMF TOOL,CHFR TOOL,CHMFR TOOL,CHAMFERING TOOL,CHAM-TOOL,BEVEL TOOL,EDGE PREP TOOL,PIPE BEVEL TOOL,PIPE CHAMFER TOOL,PIPE PREP TOOL,,,,,,,,,,,,
702,CHANNEL NUT,CHAN NUT,CH NUT,CNUT,CNOT,C-NUT,CHNUT,CH-NUT,CHANNEL NT,CHNL NUT,CHNL NT,,,,,,,,,,,,
703,CHEMICAL CURE,CHEM CURE,CHM CURE,CHEMICAL CURING,CHEM CURING,CHM CURING,CH CURE,CHEMICAL CUR,CHEM CUR,CHM CUR,CH CUR,,,,,,,,,,,,
704,CLEANOUT,C.O.,CLN OUT,CLEAN-OUT,CLN-OUT,CO,CLEAN OUT,CLNOUT,C/O,CL OUT,CLEAN-O,,,,,,,,,,,,
705,CLEANOUT WITH PLUG,CO W/ PLUG,C.O. WITH PLUG,CLEANOUT W/PLUG,CO WITH PLUG,C.O.W/P,CLEANOUT & PLUG,CO & PLUG,C/O W/PLUG,CLEANOUT/PLUG,CO/PLUG,,,,,,,,,,,,
706,CLOSE HD NIPPLE,CLOSE HEAD NIPPLE,CLS HD NIP,CLOSE HD NIP,CLS HEAD NIP,CLOSE HEADED NIPPLE,CLS HD NIPPLE,CLOSE HEADED NIP,CH NIPPLE,CH NIP,CLOSE HD,,,,,,,,,,,,
707,COMBINATION KING NIPPLE,COMBO KING NIP,COMB KING NIP,COMBINATION KNG NIP,COMBO KNG NIP,COMB KNG NIP,KING COMBO NIP,KNG COMBO NIP,KING COMB NIP,KNG COMB NIP,COMBO K-NIP,,,,,,,,,,,,
708,COMP COUPLING,COMPRESSION COUPLING,COMP CPLG,COMPRESSION CPLG,COMP COUPL,COMPRESSION COUPL,COMP CPL,COMPRESSION CPL,COMP-CPLG,COMP-CPL,COMPRESSION-CPLG,,,,,,,,,,,,
709,COMPLETE UNION,COMP UNION,COMP UN,CMPLT UNION,CMPL UN,CMPLT UN,CMP UNION,COMPLETE UN,CMPLT,CPL UN,CPL UNION,,,,,,,,,,,,
710,CONDUIT CLAMP,COND CLMP,COND CLP,CONDUIT CLP,CNDUIT CLAMP,COND CLAMP,CDT CLAMP,CDT CLP,CONDUIT CLIP,COND CLIP,CNDUT CLMP,,,,,,,,,,,,
711,CONDUIT HANGER,COND HNGR,CONDUIT HNGR,COND HANGER,COND HGR,CONDUIT HGR,CONDUCT HANGER,CNDUIT HANGER,CNDUT HNGR,C HANGER,C HNGR,,,,,,,,,,,,
712,CONTROL DISC STEAM TRAP,CD STEAM TRAP,CONTROL DISC ST,CD ST,CTRL DISC TRAP,CTRL DSC ST,CD TRAP,CONTRL DSC TRAP,CTRL DISC STM TRAP,CD STM TRAP,CNTRL DSC TRAP,,,,,,,,,,,,
713,CORNER ANGLE,CORN ANGL,CORN ANG,CRN ANGL,CORN-ANGL,CNR ANGL,CORNER ANG,COR ANGLE,CNR ANGLE,C/ANGLE,C-ANGLE,,,,,,,,,,,,
714,COUPLING NUT,CPLG NUT,CPL NUT,COUPLING N,CPLNUT,CPL-NUT,CPLG-NUT,C-NUT,COUP NUT,CNUT,CN,,,,,,,,,,,,
715,COUPLING GASKET,CPLG GSK,CPLG GSKT,CPL GSK,CPL GSKT,COUP GSK,COUP GSKT,COUPLING GSK,COUPLING SEAL,CPLG SEAL,CPL SEAL,,,,,,,,,,,,
716,CUSHION CLAMP,CUSHION CLMP,CUSH CLAMP,CUSH CLMP,CSH CLMP,CUSHION-CLAMP,CUSHION/CLAMP,CUSH-CLAMP,CUSH/CLAMP,CUSHCLAMP,CUSHCLMP,,,,,,,,,,,,
717,CUSHION PIPE STRUT CLAMP,CUSHION STRUT CLAMP,CPSC,CUSH PIPE STRUT,CUSH STRUT CLAMP,CUSHION PIPE CLAMP,CUSHION STRUT,PIPE STRUT CLAMP CUSHION,STRUT CLAMP CUSHION,CUSHIONED PIPE CLAMP,CUSHIONED STRUT CLAMP,,,,,,,,,,,,
718,CUSHION TUBE CLAMP,CUSHION TUBE CLMP,CUSHION TBE CLAMP,CUSH TUBE CLAMP,CUSHION T CLAMP,CUSH T CLAMP,CUSH TUBE CLMP,CUSHION TC,CSH TUBE CLAMP,CUSHION CLAMP,CTC,,,,,,,,,,,,
719,CUSHION TUBE STRUT CLAMP,CUSHION TUBE STRUT,TUBE STRUT CLAMP,CUSHION STRUT CLAMP,CUSHION CLAMP,CTB STRUT CLAMP,CTB CLAMP,CUSH TUBE CLAMP,TUBE CUSHION CLAMP,CUSH STRUT,CTB,,,,,,,,,,,,
720,CUTOFF,CUT OFF,CUT-OFF,CUTTING OFF,CUT,CUTOFF POINT,C/O,C.O.,CUTOFF MARK,CUT LINE,CUTOFF LINE,,,,,,,,,,,,
721,DELUGE,DELUGE VALVE,DLG,DLG VLV,DEL VLV,DELUGE SYSTEM,DLG SYSTEM,DEL SYSTEM,DELUGE SYS,DLG SYS,DEL SYS,,,,,,,,,,,,
722,DIELECTRIC UNION,DIEL UNION,DI-EL UNION,DIE UNION,D/E UNION,DE UNION,DIEL UN,D.E. UNION,DIELECTRIC UN,DI-ELECTRIC UNION,D-E UNION,,,,,,,,,,,,
723,559. DIV SET,559 DIVERTER SET,559 DIV SEAT,559 DIVERTER,559 DIV,DIV SET 559,DIVERTER SET 559,559 DIV. SET,559.DIV.SET,559-DIV-SET,559/DIV/SET,,,,,,,,,,,,
724,DOUBLE BOLT CLAMP,DBL BOLT CLAMP,DBL BLT CLAMP,DOUBLE B CLAMP,DB CLAMP,DBC,D.B.C.,2-BOLT CLAMP,TWO BOLT CLAMP,2B CLAMP,DUAL BOLT CLAMP,,,,,,,,,,,,
725,DOUBLE BOLT CLAMP WITH SADDLE,DBL BOLT CLAMP W/SADDLE,DBL BOLT CLMP W/SDL,2-BOLT CLAMP W/SADDLE,DOUBLE BOLT CLMP & SADDLE,DBL BOLT & SADDLE CLAMP,2-BOLT SADDLE CLAMP,DOUBLE-BOLT SADDLE CLAMP,DBL-BOLT CLAMP/SADDLE,2BOLT CLAMP W/SADDLE,DBL BOLT SADDLE CLAMP,,,,,,,,,,,,
726,DOUBLE HEX NIPPLE,DBL HEX NIP,DBL HX NIP,DH NIP,DHN,2X HEX NIP,DOUBLE HEXAGON NIPPLE,DBL HEXAGON NIP,HEX X HEX NIP,HXH NIP,D-HEX NIP,,,,,,,,,,,,
727,DRY PIPE,DRY PIP,DRY-PIPE,DRYPIPE,D PIPE,D-PIPE,D.PIPE,DRY P,D.P.,D/P,DP,,,,,,,,,,,,
728,DRY PIPE VALVE,DPV,DRY-PIPE VLV,DRY PIPE VLV,D.P.V.,DRY-P-VLV,DRY P VLV,DRY-P VALVE,D P VALVE,D-P-V,DRY P V,,,,,,,,,,,,
729,ELBOW ADAPTER,ELB ADP,ELL ADP,ELBOW ADPT,ELL ADPT,ELB ADPTR,ELL ADPTR,ELBOW ADAPTR,ADPT ELBOW,ADPTR ELBOW,ADAPTER ELBOW,,,,,,,,,,,,
730,ENDSEAL,END SEAL,END-SEAL,END_SEAL,SEAL END,SEAL-END,SEAL_END,ES,E/S,E.S.,E-S,,,,,,,,,,,,
731,ENVELOPE GASKET,ENV GSK,ENVL GSKT,ENV-GSK,ENVELOPE GSK,ENVL-GSK,ENV GASKET,ENVL GASKET,ENV-GSKT,ENVL-GSKT,ENVELOPE-GSK,,,,,,,,,,,,
732,EXPANSION TANK,EXP TNK,EXP TANK,EXPAN TNK,EXPAN TANK,ET,E.T.,EXPANSION VSL,EXP VSL,EXPANSION VESSEL,EXP VESSEL,,,,,,,,,,,,
733,FENDER WASHER,FND WSHR,FNDR WSHR,FDR WSHR,FENDER WSHR,F WASHER,FND WSH,FNDR WSH,FDR WSH,F WSH,FENDER,,,,,,,,,,,,
734,FILTER,FLT,FLTR,FILTR,FTR,F.L.T.,F.L.T.R.,FILT,STRAINER,STRAINR,STR,,,,,,,,,,,,
735,FLANGE COUPLING,FLG COUPLING,FLANGE CPLG,FLG CPLG,FL COUPLING,FL CPLG,FLGD COUPLING,FLGD CPLG,FLANGE COUPLER,FLG COUPLER,FLGD COUPLER,,,,,,,,,,,,
736,FLANGE COUPLING ADAPTER,FCA,FLNG CPLG ADPTR,FL CPLG ADPTR,FLANGE CPLG ADAPT,FLG COUPLING ADAPTER,FLANGE COUPL ADAPT,FL CPL ADPTR,FLNG CPL ADPTR,FLG CPL ADPTR,F.C.A.,,,,,,,,,,,,
737,FLARE UNION,FLR UNION,FLARE UN,FLR UN,FL UNION,FL UN,FLARE U,FLR U,F UNION,FL U,F UN,,,,,,,,,,,,
738,FLAT SQUARE WASHER,SQ WASHER,SQUARE WASHER,FLAT SQ WASHER,SQ FLAT WASHER,F/SQ WASHER,FSQ WASHER,F.S.W.,SQ F/WASHER,SQUARE FLAT WASHER,F/S/W,,,,,,,,,,,,
739,FLEXIBLE CONNECTOR,FLEX CONN,FLEX CONNECTOR,FLX CONN,FLEXIBLE CONN,FLEX CONNECTION,FLEXIBLE CONNECTION,FLEX COUPLING,FLEXIBLE COUPLING,FC,FLX CONNECTOR,,,,,,,,,,,,
740,FLEXIBLE COUPLING,FLEX COUPLING,FLEX CPLG,FLEXIBLE CPLG,FLEX CPL,FLEXIBLE CPL,FL COUPLING,FL CPLG,FLX COUPLING,FLX CPLG,FLEX CPLG,,,,,,,,,,,,
741,FLEXIBLE GROOVED COUPLING,FLEX GROOVED CPLG,FLEX GRV CPLG,FLEXIBLE GRV CPLG,FLX GROOVED CPLG,FLEX GROOVE COUPLING,FLEXIBLE GRV COUPLING,FLX GRV COUPLING,FLEX GRV CPL,FLEXIBLE GROOVE CPLG,FLX GROOVE CPL,,,,,,,,,,,,
742,FLOW SWITCH,FLW SWTCH,FL SWITCH,FLOW SW,FL SW,F/S,FS,FLSW,FLOW DETECTOR,FLOW SENSOR,F.S.,,,,,,,,,,,,
743,FLUSH,FLH,FL,FLSH,FLS,FLSH CONN,FLUSH CONNECTION,FLUSH FITTING,FLUSH MOUNT,FLUSH CONNECTOR,FLUSH FTG,,,,,,,,,,,,
744,FLUSH SEAL,FLSH SEAL,FL SEAL,FLH SEAL,FLSH SL,FL SL,FLUSH-SEAL,FLUSH/SEAL,F/SEAL,F.SEAL,F-SEAL,,,,,,,,,,,,
745,FLUSH VALVE,FLUSH VLV,FL VLV,FL. VLV,FLSH VLV,FL. VALVE,FLSH VALVE,FLH VLV,FLH VALVE,F.VALVE,F.VLV,,,,,,,,,,,,
746,FLUSHSEAL,FLUSH SEAL,FLUSH-SEAL,FLUSH/SEAL,FLSH SEAL,FLSH-SEAL,FL SEAL,FL/SEAL,F/SEAL,F-SEAL,F SEAL,,,,,,,,,,,,
747,FOOT VALVE,FT VLV,FOOTVALVE,FT. VLV,FT VALVE,FOOT VLV,F VLV,F.V.,FTV,F.VALVE,FT-VLV,,,,,,,,,,,,
748,FREEZE PROTECTION,FRZ PROT,FREEZE PROT,FRZ PROTECTION,FROST PROTECTION,FROST PROT,FREEZE GUARD,FRZ GRD,FREEZEPROOF,ANTI-FREEZE,ANTIFREEZE,,,,,,,,,,,,
749,FULL FACE SPIRAL WOUND,FF SPIRAL WOUND,FF SW,FFSW,FF-SW,FULL FACE SW,FF SPWD,FULL FACE SPWD,FF-SPWD,FFSPWD,FULL FACE SP WND,,,,,,,,,,,,
750,FULL-FACE SPIRAL WOUND,FF SPIRAL WOUND,FULL FACE SW,FF SW,FULL-FACE SW,FULL FACE SPIRAL,FF SPRL WND,FULL-FACE SWG,FF SWG,FULL FACE SPIRAL WOUND GASKET,FF SPIRAL WOUND GASKET,,,,,,,,,,,,
751,GASKET SET,GSK SET,GASKET KIT,GSK KIT,GASK SET,SEAL KIT,SEAL SET,G/SET,GS/KIT,GSK-SET,G.SET,,,,,,,,,,,,
752,GRAB BAR,GRAB-BAR,GRABBAR,HAND RAIL,HANDRAIL,HAND-RAIL,SAFETY BAR,SAFETY RAIL,SUPPORT BAR,SUPPORT RAIL,ASSIST BAR,,,,,,,,,,,,
753,GRID DRAIN,GRD DRN,GRID DRN,GD DRAIN,FLOOR GRID DRAIN,FLOOR GRD DRN,GRD-DRN,GRID-DRAIN,G DRAIN,GD DRN,GRID-DRN,,,,,,,,,,,,
754,GROOVE,GRV,GROOV,GRVE,GRV'D,GROOVED,GROOVING,GR,G'VE,GRVD,GV,,,,,,,,,,,,
755,GROOVED MECHANICAL TEE,GROOVED MECH TEE,GRV MECH TEE,GRV MECHANICAL TEE,GROOVE MECH TEE,GROOVE MECHANICAL TEE,GMC TEE,GRV MCH TEE,GRVD MECH TEE,GRVED MECH TEE,GRV-MECH TEE,,,,,,,,,,,,
756,GROOVED RIGID COUPLING,GR COUPLING,RIGID GROOVE COUPLING,RIGID GROOVED CPLG,GRV RGD CPLG,GROOVE RGD CPL,RGD GRV CPLG,GRV RIGID COUPLING,RIGID GRV COUPLING,RGD GROOVE CPLG,RIGID GRV CPLG,,,,,,,,,,,,
757,GROOVED COUPLING GASKET,GRV CPL GSK,GRVD CPL GSK,GRV CPLG GSK,GROOVE CPL GSKT,GRVD CPLG GASKET,GRV COUPLING GSKT,GROOVED CPL GSKT,GRVD SEAL,GROOVE GASKET,GRV GSK,,,,,,,,,,,,
758,GROUND JOINT BOSS FEMALE COUPLING,GJ BOSS F COUPLING,GJ BOSS FEM CPLG,GROUND JT BOSS F CPLG,GRD JT BOSS FEM CPLG,GJ BOSS FEM COUPL,GRND JT BOSS F CPLG,GRD JOINT BOSS F CPL,GJ BOSS FEMALE CPL,GROUND JT BOSS FEM,GRD JT BOSS F COUPLING,,,,,,,,,,,,
759,HANDLE NUT,HDL NUT,HND NUT,HANDLE NT,H/NUT,HNDL NUT,HDL NT,HND NT,H NUT,HANDL NUT,H-NUT,,,,,,,,,,,,
760,HANDLE KIT,HNDL KIT,HDL KIT,HANDLE SET,HNDL SET,HDL SET,HANDLE ASSEMBLY,HNDL ASSEMBLY,HDL ASSEMBLY,HANDLE ASSY,HDL ASSY,,,,,,,,,,,,
761,HANGER SWIVEL RING,HNGR SWVL RNG,HANGER SWVL RING,SWIVEL RING HANGER,SWVL RNG HNGR,HSR,H.S.R.,SWVL HANGER RING,SWIVEL HNGR RING,HNGR RING SWIVEL,RING SWIVEL HANGER,,,,,,,,,,,,
762,HEAVY HEX BOLT,HVY HEX BOLT,HH BOLT,HEAVY HEX BLT,HVY HX BLT,HH BLT,HEAVY HEXAGON BOLT,HH HEXAGON BOLT,H.H. BOLT,H.H.B.,HHB,,,,,,,,,,,,
763,HEAVY HEXAGON NUT,HEAVY HEX NUT,HVY HEX NUT,HEAVY HX NUT,HVY HEXAGON NUT,HH NUT,HEAVY HEXNUT,2H NUT,2HN,HVY HX NUT,H.H.N,,,,,,,,,,,,
764,600. HEX BOLT WITH NUT,600# HEX BOLT W/NUT,600# HEX BOLT AND NUT,600LB HEX BOLT W/NUT,600 CLASS HEX BOLT W/NUT,600# HEXBOLT W/NUT,HEX BOLT W/NUT 600#,600 HB W/N,600# HB&N,600 LB HXBLT W/NUT,600# HXBLT & NUT,,,,,,,,,,,,
765,HEX CAP SCREW,HCS,HEX CAP,H/C/S,HC SCREW,HX CAP SCREW,HEXCAP,H.C.S.,HEX CS,HEXAGON CAP SCREW,HEX-CAP SCREW,,,,,,,,,,,,
766,HEX HEAD BOLT WITH NUT,HH BOLT W/NUT,HEX HD BOLT & NUT,HHBN,HEX BOLT W/NUT,HH BOLT AND NUT,HEX HEAD B/N,HEX HD B/N,HH B/N,HEXHEAD BOLT/NUT,HEX BOLT & NUT,,,,,,,,,,,,
767,HEX HEAD MACHINE BOLT,HHMS,HEX HD MC BOLT,HEX HD MACH BOLT,HH MACHINE BOLT,HEX HEAD MB,HEX HD MB,HEXHEAD M BOLT,HEX M BOLT,HH M BOLT,HEX MACHINE BOLT,,,,,,,,,,,,
768,HEX HEAD STRUCTURAL BOLT,HEX HEAD STRUCT BOLT,HH STRUCTURAL BOLT,HH STRUCT BOLT,HHSB,HH STR BOLT,STRUCTURAL HEX BOLT,STRUCT HEX BOLT,HEX STRUCT BOLT,HEX STR BOLT,H.H.S.B.,,,,,,,,,,,,
769,HEX HEAD TAP BOLT,HH TAP BOLT,TAP BOLT HH,HEX HD TAP BOLT,HH TB,TAP BOLT,HHTB,HEX TAP BOLT,TB HH,HD TAP BOLT,H.H.T.B.,,,,,,,,,,,,
770,HEX REDUCING NIPPLE,HEX RED NIPPLE,HEX RED NIP,HEX REDUCING NIP,HEXAGONAL REDUCING NIPPLE,HEXAGONAL RED NIPPLE,HEX RED NPL,HEX REDUCING NPL,HEX RDC NIPPLE,HEX RDC NIP,HEX REDC NPL,,,,,,,,,,,,
771,607. HEX TRANSITION,HEX TRANS,607 HEX TRANS,607. HEX TRANS,HEX TRAN,607 HEX TRAN,HEXAGONAL TRANSITION,607 HEXAGONAL TRANS,HEX TRANSITION FITTING,607 HEX TRANSITION,HEXAGONAL TRANS,,,,,,,,,,,,
772,HOSE,HS,HSE,FLEX HOSE,FLEXIBLE HOSE,HOS,FLEX LINE,FLEXIBLE LINE,FLEX TUBE,FLEXIBLE TUBE,FLEX,,,,,,,,,,,,
773,HOSE BARB COUPLING,HOSE BARB CPLG,HOSE BARB CPL,H.B. COUPLING,H.B. CPLG,HB COUPLING,HB CPLG,HOSE BARB,H BARB CPLG,BARB COUPLING,BARB CPLG,,,,,,,,,,,,
774,HYDRANT,HYD,HYDRNT,FIRE HYDRANT,FIRE HYD,FH,F.H.,F/H,F-H,HYDNT,FIRE-HYDRANT,,,,,,,,,,,,
775,HYDRAULIC HAND GUN,HYD HAND GUN,HYDRAULIC GUN,HYD GUN,HAND GUN HYDRAULIC,HYD HANDGUN,HYDRAULIC HANDGUN,H.H.G.,HYDRO HAND GUN,HYDRAULIC H/GUN,HYD H/GUN,,,,,,,,,,,,
776,ISOLATION BONNET VALVE,ISO BONNET VLV,ISOL BONNET VLV,ISO-BONNET VALVE,ISOL-BONNET VALVE,IBV,ISO BNT VLV,ISOLATION BNT VLV,ISO BONNET V,ISOL BNT V,I.B.V.,,,,,,,,,,,,
777,613. J HANGER,613J HANGER,613-J HANGER,613.J HANGER,FIG 613J HANGER,FIGURE 613J HANGER,J-HANGER 613,TYPE 613J HANGER,613 J-HANGER,MODEL 613J HANGER,613 J PIPE HANGER,,,,,,,,,,,,
778,KING NIPPLE,KN,KING NIP,K NIP,K-NIP,K.N.,KNG NIP,KING NPL,K NPL,KING-NIP,K/N,,,,,,,,,,,,
