,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
690,SPRING RETURN ACTUATOR,SR ACTUATOR,SPRING RTN ACTUATOR,SRA,SPRING RETURN ACT,SR ACT,SPRING RTN ACT,SPRG RTN ACTUATOR,SPRG RETURN ACT,SPR RTN ACTUATOR,SPRING RET ACTUATOR
691,SR ELBOW,SR ELL,SHORT RADIUS ELBOW,SHORT RADIUS ELL,SR 90 ELBOW,SR 90 ELL,SR 90° ELBOW,SR 90° ELL,SHORT RAD ELBOW,SHORT RAD ELL,S.R. ELBOW
692,STACK VENT,STACK-VENT,STCK VENT,STK VENT,STK-VENT,STKVENT,STACK-V,STK-V,STCK-V,STVENT,STV
693,STEAM TRAP DISC,STM TRAP DISC,STEAM TRP DISC,ST TRAP DISC,STM TR DISC,TRAP DISC,STM DISC,ST DISC,S/T DISC,S.T. DISC,STD
694,STOP,STOP VALVE,STP VLV,STOP VLV,STP VALVE,STOPPING VALVE,STOPPING VLV,STP,STOPPING,STPV,SV
695,STOVE BOLT,STOV BLT,STV BLT,STOVE BT,ST BOLT,STOVE B,STV BOLT,STOVE-BOLT,STOVE/BOLT,S/BOLT,STB
696,STRAINER CAP GASKET,STRNR CAP GSK,STRAINER CAP GSK,STRNR CAP GASKET,STR CAP GSK,STR CAP GASKET,STRAINER LID GSK,STRNR LID GASKET,STRN CAP GSK,FILTER CAP GSK,FILTER CAP GASKET
697,STUD AND NUT,STUD & NUT,STD & NUT,STUD W/ NUT,STUD WITH NUT,STD W/NUT,STUD/NUT,STD/NUT,S&N,STD & N,ST & NT
698,STUD BOLT WITH NUTS,STUD BOLT W/ NUTS,STUD BOLT & NUTS,STD BOLT W/ NUTS,STUD BOLT/NUTS,STDBOLT W/NUTS,STD BLT W/NTS,STUDBOLT/NUT,STUD W/NUTS,SB W/N,STDBLT/NUT
699,SWIVEL,SWV,SWVL,SW,SWL,SWIV,SWIVEL JOINT,SWVL JNT,SW JT,SWIVEL COUPLING,SWIVEL CONN
700,SWIVEL CONNECTOR,SWIVEL CONN,SWV CONN,SWIV CONNECTOR,SWVL CONN,SWV CONNECTION,SWIVEL COUPLING,SWVL COUPLING,SWV CPLG,SWIVEL CPLG,SWVL CPLG
701,SWIVEL RING HANGER,SWVL RNG HNGR,SWV RNG HGR,SWIVEL RNG HNGR,SR HANGER,SRH,SWVL RING HGR,SWIVEL RING HGR,SWVL RG HNGR,SWVL RING,SW RING HNGR
702,702. SWIVEL ADAPTER,702 SWVL ADPTR,702 SWV ADPT,702. SWV ADPTR,702 SWIVEL,702. SWVL,SWIVEL ADAPTER 702,SWVL ADPTR 702,SWIVEL ADPT 702,702 SWIVEL ADAPT,702. SWVL ADAPT
703,T GASKET,T-GSK,T GSK,TGSK,T-GASKET,TGAS,T GAS,T-GAS,T SEAL,T-SEAL,TSEAL
704,T-BOLT CLAMP,T BOLT CLAMP,TBOLT CLAMP,T-BOLT CLP,T BOLT CLP,TBOLT CLP,T-BOLT COUPLING,T BOLT COUPLING,T-B CLAMP,TB CLAMP,T-B CLP
705,TEE WYE,TEE-WYE,T-WYE,TEE Y,T-Y,TWY,T WY,TEE-Y,T/WYE,T/Y,TY
706,T-HANDLE,T HANDLE,TEE HANDLE,T HDL,T-HDL,THDL,TEE HDL,T HNDL,T-HNDL,TEE HNDL,THANDLE
707,THERM-DYNAMIC STEAM TRAP,TD STEAM TRAP,THERMODYNAMIC STEAM TRAP,TD ST TRAP,THERM-DYN ST TRAP,TD TRAP,THERM-DYN TRAP,THERMODYNAMIC TRAP,T/D STEAM TRAP,T-D STEAM TRAP,T.D. STEAM TRAP
708,THERMODYNAMIC STEAM TRAP,TD STEAM TRAP,THERMO STEAM TRAP,TD ST TRAP,THERMODYNAMIC TRAP,TDT,TD TRAP,THERMO TRAP,T.D.T.,THERM DYN TRAP,T.D. STEAM TRAP
709,THERMOMETER STEAM TRAP,THERM STEAM TRAP,THERMOMETRIC TRAP,THERMO STEAM TRAP,THERMOSTATIC TRAP,THERM STM TRAP,THERMO STM TRAP,THERM ST TRAP,TST,THERM TRAP,THERMODYNAMIC TRAP
710,THERMOSTAT STEAM TRAP,THERM STEAM TRAP,THERMOSTATIC TRAP,THERM TRAP,TST,THERMO TRAP,THERMOSTAT TRAP,THERM ST TRAP,T.S.T.,THERM S TRAP,THERMOSTATIC STM TRAP
711,THERMOSTATIC,THERMO,THERM,THERMOSTAT,THERM STAT,THERMO STATIC,THERM-STAT,THERMO-STATIC,T-STAT,TSTAT,THSTATIC
712,THERMOSTATIC MIXING,THERM MIX,THERM MIXING VLV,TMV,THERMOSTATIC MIX VLV,THERMO MIX,THERMO MIXING,THERM MIX VLV,T-MIX,THERMO-MIX,THERMOSTATIC MIXING VLV
713,THREADED TRANSITION,THD TRANS,THRD TRANS,THD TRANSITION,THRD TRANSITION,THREAD TRANS,THREADED TRANS,TH TRANS,T TRANS,TRANS THD,TRANSITION THD
714,THREADED TRANSITION FITTING,THD TRANS FTG,THRD TRANS FTG,THD TRANSITION,TRANS THD FTG,THRD TRANS,THD TRANS,TRANS FTG THD,TRANSITION THD,THD-TRANS,TRANS-THD
715,TOGGLING BOLT WITH WING,TOGGLE BOLT W/WING,TOGGLE WING BOLT,WING TOGGLE BOLT,TOGGLING BOLT W/WING,WING TOGGLING BOLT,TOG BOLT W/WING,TOGGLE WING B,WING TOG BOLT,TOG-BOLT W/WING,WING TOG-BOLT
716,TRANS FITTING,TRANSITION FITTING,TRANS FTG,TRANSITION FTG,TRANS,TRANSITION,TRANS REDUCER,TRANSITION REDUCER,TRANS RED,TRANSITION RED,TRANS-FTG
717,TRANSITION,TRANS,TRAN,TRANS FITTING,TRANSITION FITTING,TRANS FTG,TRAN FTG,TRANS PIECE,TRANSITION PIECE,TRANS ADAPTER,TRANSITION ADAPTER
718,TRANSITION ADAPTER,TRANS ADAPTER,TRANS ADPT,TRANSITION ADPT,TRANS ADP,TRANSITION ADP,TR ADAPTER,TR ADPT,TRANS FITTING,TRANSITION FTG,TRANS FTG
719,TRAP,TRP,STEAM TRAP,STMP TRAP,STM TRAP,ST TRAP,S TRAP,STRP,STMTRP,S/T,S.T.
720,TRIM,TRM,VALVE TRIM,VLV TRIM,V/TRIM,V-TRIM,V.TRIM,V TRM,TRIMSET,TRIM SET,TRIM KIT
721,TTMA,TTMA FLANGE,TANK TRUCK MANUFACTURERS ASSOCIATION,TTMA FLG,TANK TRUCK FLG,TANK TRUCK FLANGE,TTMA STYLE FLANGE,TTMA STYLE FLG,TANK TRUCK STYLE FLANGE,TANK TRUCK STYLE FLG,TTMA CONNECTION
722,TUB SPOUT SLIP FITTING,TUB SPOUT SLIP FTG,SLIP FTG TUB SPOUT,SLIP FITTING TUB SPOUT,TUB SPOUT SLIP-FIT,TUB SPOUT SLIP ON,SLIP-ON TUB SPOUT,TSS FITTING,TSS FTG,TUBSPOUT SLIP FIT,SLIP FIT TUBSPOUT
723,TUBE ADAPTER,TUBE ADPTR,TB ADAPTER,TB ADPTR,TUBE ADAPT,TUB ADAPTER,TUBING ADAPTER,TUBE-ADAPTER,TBE ADAPTER,TUBE ADP,TB-ADAPTER
724,TUBE VALVE,TUB VLV,TB VLV,TUBE VLV,TBE VALVE,TB VALVE,TUBE V,TUB V,TB V,T VLV,T VALVE
725,U BOLT WITH NUT,U-BOLT W/ NUT,U BOLT W/NUT,U-BOLT AND NUT,U BOLT & NUT,U-BOLT & NUT,UBOLT WITH NUT,UBOLT W/NUT,U-BOLT/NUT,U BOLT/NUT,UBOLT/NUT
726,UNIVERSAL COUPLING,UNIV COUPLING,UNIV CPLG,UNV COUPLING,UNV CPLG,UNIVERSAL CPLG,U COUPLING,U CPLG,UNIV CPLN,UNI COUPLING,UNI CPLG
727,VALVE LINKAGE,VLV LINK,VLVLINK,V/LINK,VLV LINKAGE,VALVE LINK,V LINKAGE,V/L,VL,V-LINK,V.LINK
728,VALVE LINKAGE KIT,VLV LINK KIT,VALVE LINKAGE,VLV LINKAGE KIT,V/L KIT,VLK,LINK KIT,LINKAGE KIT,VLV LNK KIT,V LINKAGE KIT,VALVE LINK KIT
729,VALVE KEY,VLV KEY,KEY VLV,V KEY,KEY V,VK,KEY FOR VALVE,VALVE K,K VLV,VALVE WRENCH,VLV WRENCH
730,VALVE PART,VLV PART,VLV PRT,VALVE PRT,V/PART,V/PRT,VLV COMPONENT,VALVE COMPONENT,V.PART,V.PRT,VALVE SPARE
731,VALVE PARTS,VLV PARTS,VLV PTS,VALVE PTS,V/PARTS,V/PTS,VALVE COMPONENTS,VLV COMPONENTS,VALVE SPARES,VLV SPARES,V/SPARES
732,VALVE WRENCH,VLV WRENCH,VALVE WRCH,VLV WRCH,VALVE KEY,VLV KEY,V WRENCH,V WRCH,V KEY,VALVE OPERATING WRENCH,VALVE OPERATING KEY
733,VANE,VAN,VANES,GUIDE VANE,FLOW VANE,TURNING VANE,STRAIGHTENING VANE,VN,VANING,VANED,VANE ASSEMBLY
734,VANE ACTUATOR,VANE ACT,VN ACT,VANE ACTR,VN ACTR,V/ACT,V-ACT,VN-ACT,VACT,VA,VANE-ACT
735,VP,VACUUM PUMP,VAC PUMP,VAC. PUMP,VCUM PMP,V.P.,V PUMP,V-P,V.PUMP,VAC P,VAC. P
736,WELD TRANSITION FITTING,WLD TRANS FTG,WELDING TRANS FITTING,WLD TRANSITION,WELD TRANS,TRANS FITTING,WLD TRANS FIT,TRANSITION FTG,WLD TRANS PIECE,WELD TRANS CONNECTOR,TRANSITION WELD FITTING
737,WING NUT,WNUT,WING-NUT,W-NUT,WNGNUT,WNG NUT,W NUT,W.NUT,W/NUT,WING N,W.N.
738,WING NUT CAP,WING CAP,WING NUT,WNG NUT CAP,WING-NUT CAP,WING N CAP,WING-CAP,WING/NUT CAP,W/N CAP,WNG CAP,W.N.CAP
739,WORM GEAR CLAMP,WG CLAMP,WORM GR CLAMP,WORM DRIVE CLAMP,WG HOSE CLAMP,WORM GEAR HSE CLAMP,WORM CLAMP,WGC,W/G CLAMP,W.G.C.,W-G-C
740,WRENCH,WRCH,WR,SPANNER,WRNCH,W.R.,W/R,WRENCH TOOL,HAND WRENCH,WRNC,WRENCH KEY
741,Y-TYPE STRAINER,Y STRAINER,Y TYPE STRN,Y-STRAINER,Y STR,Y-STR,WYES,Y-PATTERN STRAINER,Y PATTERN STR,Y TYP STRN,YTS
742,LOCK NUT,LN,LOCKNUT,LOCK-NUT,LOCK N,LCK NUT,LOCKING NUT,L NUT,L-NUT,L/NUT,L.N.
743,SHOWER HEAD,SHWR HEAD,SHW HEAD,SHOWER HD,SHWR HD,SH HEAD,SH HD,SHOWER H,SHWR H,S/HEAD,S/HD
744,SHOWERHEAD,SHOWER HEAD,SH HEAD,SHOWER-HEAD,S/HEAD,SH-HEAD,S HEAD,S-HEAD,S/H HEAD,SHR HEAD,SHWR HEAD
745,BOLT NUT,B/N,BOLT & NUT,BOLT AND NUT,BOLT/NUT,B&N,BLT/NUT,BOLT/NT,B-N,BN,BOLT-NUT
746,BULKHEAD TANK FITTING,BLKHD TNK FTG,BLKHD TANK FTG,BH TANK FTG,BULKHEAD FTG,BH TK FTG,BLKHD TK FITTING,BH TANK FITTING,TANK BULKHEAD,TK BLKHD FTG,BULK-HEAD FTG
747,UNION P TRAP,UNION P-TRAP,UNI P TRAP,UNI P-TRAP,U P TRAP,U P-TRAP,UNION PTRAP,UNI PTRAP,P-TRAP UNION,P TRAP UNION,U PTRAP
748,VENT PLUG,VNT PLG,VENT PLG,V PLUG,V PLG,VENTING PLUG,VENTPLG,VT PLG,V-PLG,V.PLG,VENT-PLG
749,SOCKET FLANGE,SKT FLG,SOCKET FLG,SO FLG,S.O. FLANGE,SO. FLANGE,S.O.F,SOF,SCKT FLANGE,SCKT FLG,S-O-F
750,VAN STONE SOCKET FLANGE,VS SOCKET FLANGE,VS SKT FLANGE,VS SKT FLG,VAN STONE SKT FLG,VANSTONE SOCKET FLG,VANSTONE SKT FLANGE,V.S. SOCKET FLANGE,V.S. SKT FLG,VAN-STONE SOCKET FLG,VS SOCKET FLG
751,VANSTONE,VAN STONE,VANSTON,VAN-STONE,VS FLANGE,VS FLG,VANSTONE FLANGE,VANSTONE FLG,VAN STONE FLANGE,VAN STONE FLG,VS
752,NAMUR,NAM,NMUR,NAMR,NMR,NAMUR VALVE,NAMUR VLV,NAM VLV,NAMUR SOLENOID,NAMUR SOL,NAM SOL
753,TEST CAP,TEST-CAP,TST CAP,TEST CP,TC,T-CAP,T CAP,TEST-C,TSTCAP,T.C.,TESTING CAP
754,SILICONE CAULK,SIL CAULK,SILCAULK,SIL CAULKING,SILICONE SEALANT,SIL SEALANT,SILCONE CAULK,SIL SEAL,SILICONE,SIL CK,SILCAULKING
755,3 BOLT D CLAMP,3-BOLT D CLAMP,3 BOLT D-CLAMP,3-BOLT D-CLAMP,D CLAMP 3 BOLT,D-CLAMP 3 BOLT,3B D CLAMP,3B D-CLAMP,3 BLT D CLAMP,3BLT D-CLAMP,THREE BOLT D CLAMP
756,AIR ELIMINATOR,AIR ELIM,A.E.,AIR ELMNTR,A/E,AIR ELMTR,AE,AIR-ELIM,AIR RELEASE,AIR VENT,AUTO AIR VENT
757,ALIGN CONNECTOR,ALIGN CONN,ALIGNMENT CONNECTOR,ALIGNMENT CONN,ALGN CONN,ALGN CONNECTOR,ALIGN CON,ALIGNMENT CON,ALGN CON,AL CONN,AL CONNECTOR
758,BAND CLAMP,BNDCLMP,BND CLMP,B CLAMP,BAND CLP,B CLP,BCLMP,B-CLAMP,BAND-CLAMP,B.CLAMP,BAND.CLAMP
759,BOSS LOCK COUPLING,BLC,BOSS LK CPLG,BOSS LOCK CPLG,BOSS LK COUPLING,B L COUPLING,B/L CPLG,BOSS-LOCK,B.L.C.,BOSS-LK,BOSSLOCK
760,BOSS LOCK DUST CAP,BOSS LK DUST CAP,BOSS-LOCK DUST CAP,BOSSLOK DUST CAP,BOSS LOCK DC,BOSS LK DC,BOSS-LOCK DC,BOSSLOK DC,BL DUST CAP,BOSS CAP,BLDC
761,BRACKET AND COUPLER,BRKT & CPLR,BRACKET & COUPLING,BRKT AND CPLNG,BRACKET/COUPLER,BRKT/CPLR,BRACKET W/COUPLER,BRKT W/CPLR,BRACKET & CPLR,BRCKT & CPLR,BRKT-CPLR
762,BRACKET COUPLER,BRKT CPLR,BRKT CPL,BRACKET CPL,BRKT COUPLER,BRCKT CPLR,BRCKT COUPLER,BKT CPLR,BKT COUPLER,BRKT-CPLR,BRACKET-COUPLER
763,BUG VENT,BV,BUG-VENT,BG VNT,BUG VT,B-VENT,BG VENT,BUGVENT,B VENT,B.V.,BG-VNT
764,CALIBRATION FASTENER,CAL FASTENER,CALIB FASTENER,CALIBR FASTENER,CAL FSTNR,CALIB FSTNR,CALIBRATION FSTNR,CAL-FASTENER,CALIB-FASTENER,CALIBR-FSTNR,CAL-FSTNR
765,CAMLOCK ADAPTER,CAM-LOCK ADAPTER,CAM LOCK ADPTR,CAMLOK ADAPTER,CAM-LOK ADAPTER,CAMLOCK ADPTR,CAM LOCK,CAM-LOCK,CAMLOK,CAM-LOK,CAMLOCK
766,CLAMP CAP,CAP CLP,CLP CAP,TRI CAP,TC CAP,TRICLAMP CAP,TRI-CLAMP CAP,TRI CLAMP CAP,SANITARY CAP,CLMP CAP,CLAMP END CAP
767,CLAMP FERRULE,CLMPFER,CLMP FER,CL FERRULE,CLAMP FER,C FERRULE,CLMP FERRULE,CL FER,CFERR,C FER,CLFERL
768,CLOSE NIPPLE,CLOSE NIP,CL NIP,CLN,CL NIPPLE,CLNIP,CL-NIP,CLOSE-NIP,C/NIP,C.N.,CN
769,CLOSET FLANGE,CLOS FLG,CLOS FLNG,CLOSET FLG,CLOSET FLNG,TOILET FLANGE,TOILET FLG,WC FLANGE,WC FLG,WATER CLOSET FLANGE,WATER CLOSET FLG
770,COMBINATION NIPPLE,COMBO NIPPLE,COMB NIP,COMB NIPP,COMBINATION NIP,COMBO NIP,COMB NPL,COMBO NPL,COMBINATION NPL,CMB NPL,COMB-NIP
771,COMPRESSION FITTING,COMP FTG,COMPRESSION FTG,COMP FITTING,COMP-FTG,COMP. FTG,COMPRESSION,COMP,COMP.FIT,COMP.FTG,COMPRESSION-FTG
772,COUPLER,CPLR,CPLNG,COUPLING,CPL,CPLG,COUP,CPLING,CPLN,CPLR-G,CPL-G
773,CROSS UNION,CROSS UN,X UNION,X UN,CRUN,CR UN,CROSS U,XU,CRU,XUNION,X-UNION
774,774. CUT OFF,774. CO,774.CUTOFF,774.C/O,774 CUT OFF,774 CO,774 C/O,774.C-O,774 C-O,774CUT-OFF,774C/O
775,DIELECTRIC CONNECTOR,DIEL CONN,DI-EL CONN,DIELECTRIC COUPLING,DIEL COUPLING,DI-EL COUPLING,DIEL UNION,DIELECTRIC UNION,DI-EL UNION,DIEL FTG,DIELECTRIC FTG
776,DOUBLE FERRULE,DBL FERRULE,DUAL FERRULE,DBL FER,DUAL FER,2X FERRULE,2-FERRULE,DOUBLE FER,TWO FERRULE,DBL-FER,DUAL-FER
777,DOUBLE PLUG FITTING,DBL PLUG FTG,DBL PLUG,DOUBLE PLUG FTG,2-PLUG FITTING,2XPLUG FITTING,DBL PLG FTG,DOUBLE PLG FTG,2XPLG FTG,2-PLG FTG,DBL-PLUG FTG
778,FEMALE CONNECTOR,FEM CONN,F CONN,FEMALE CONN,FEM CONNECTION,F CONNECTION,F-CONN,FEM-CONN,F/CONN,FEMALE FITTING,FEM FTG
779,HEADER,HDR,MANIFOLD,HEAD,HDDR,PIPE HEADER,DISTRIBUTION HEADER,SUPPLY HEADER,MAIN HEADER,RETURN HEADER,H.D.R
780,HEX HEAD NUT,HEX NUT,HH NUT,HEXNUT,HEX HD NUT,HEX HEAD N,HH N,H.H.N.,HEXAGONAL NUT,HEX N,HX NUT
781,HEX LONG NIPPLE,HEX LNG NIP,HEX LG NIP,HEXAGONAL LONG NIPPLE,HEX LONG NIP,HX LNG NIP,HEX L NIPPLE,HEXAGON LONG NIPPLE,HEX LONG NPL,HEX LNG NPL,HEXAGONAL LNG NIP
782,HEX REDUCER COUPLING,HEX RED CPLG,HEX RED COUPLING,HEX REDUCING CPLG,HEX REDUCING COUPLING,HEX RED CPLNG,HX RED CPLG,HEX RDC CPLG,HEX RDCR CPLG,HEX RDCR COUPLING,HX RDCR CPLG
783,HEX UNION NUT,HEX UN NUT,HEXAGONAL UNION NUT,HEX U NUT,HEX-UNION-NUT,HEX UNION N,HEXUN NUT,HEX-UN-NUT,HEXAGONAL UN NUT,HUN NUT,H.U.N.
784,HOSE CLAMP,HSE CLMP,H CLAMP,HOSE CLP,H/CLAMP,HSE CLP,HOSECLMP,H-CLAMP,HC CLAMP,HCLMP,H.CLAMP
785,LAP JOINT STUB END,LAP JT STUB END,LAP JOINT SE,LAP JT SE,LJSE,LJ STUB END,L.J.S.E.,STUB END LAP JOINT,STUB END LJ,LAP-JOINT STUB END,LAP JOINT STUBEND
786,LATCH LEVER,LTCH LVR,LATCH LVR,LTCH LEVER,L LEVER,L LVR,LEVER LATCH,LVR LATCH,LATCHING LEVER,LATCH-LEVER,LTCH-LVR
787,LINK SEAL,LINKSEAL,LINK-SEAL,LNK SEAL,LK SEAL,LINK-SL,L/SEAL,LSEAL,L-SEAL,L SEAL,LS
788,LIQUID GAUGE,LIQ GAUGE,LIQUID GG,LIQ GG,L GAUGE,LG,FLUID GAUGE,FLUID GG,FLD GAUGE,FLD GG,LVL GAUGE
789,LOCKING LEVER,LOCK LEVER,LCK LVR,LOCK LVR,LK LVR,LOCKING LVR,L/LEVER,L LEVER,LOCK-LEVER,L-LEVER,L.LEVER
790,LONG FERRULE,LG FERRULE,LONG FER,LG FER,LONG FRL,LG FRL,L FERRULE,L FER,LONG F,LNG FERRULE,LNG FER
791,MALE ADAPTER TYPE E,MALE ADPT TYPE E,M ADPTR TYPE E,MALE ADAPTER TY E,M ADAPTER TYPE E,MA TYPE E,MADPT TYPE E,M-ADPT-E,MALE ADPT E,M ADPT E,MALE E ADAPTER
792,MALE BRANCH TEE,MB TEE,M.B. TEE,MALE BR TEE,M/B TEE,M.B.T.,MBT,MALE B TEE,M BR TEE,M BRANCH T,MALE BR T
793,MALE PLUG,M PLUG,MPL,M PLG,ML PLUG,MALE PLG,M-PLUG,ML-PLG,M.PLUG,ML.PLG,M/PLG
794,MALE RUN TEE,M RUN TEE,MALE R TEE,M R TEE,MRT,M.R.T.,MALE R T,M RUN T,MALE RT,M RT,M-R-T
795,MUD DAUBER,MUD DBBER,MUD DABBER,MUD DAB,MUD DB,MD DAUBER,M DAUBER,MUDDAUBER,MUD-DAUBER,MUD.DAUBER,M.DAUBER
796,OCTAGONAL RING,OCT RING,OCTO RING,OCTAG RING,8-SIDED RING,OCTAGONAL SEAL RING,OCT SEAL RING,OCTAG SEAL RING,8-SIDED SEAL RING,OCT-RING,OCTO-RING
797,PATCH CLAMP,PATCH CLP,PTCH CLMP,PATCH,P CLAMP,P CLP,PCH CLMP,PTCH CLP,P.CLAMP,PCLMP,P.CLP
798,QUICK CONNECT BODY,QC BODY,QUICK-CONNECT BODY,Q/C BODY,QUICK CON BODY,Q-C BODY,QCB,QUICK CONN BODY,Q.C. BODY,QUICK-CON BODY,Q/CONNECT BODY
799,QUICK CONNECTOR,QUICK-CONN,QC,Q-CONN,QUICK CONNECT,Q/C,Q.C.,QUICK-CON,QCONN,Q CONN,QUICK CONNECTION
800,QUICK CONNECTOR PLUG,QC PLUG,QUICK CONN PLUG,Q/C PLUG,QUICK-CONN PLUG,Q.C. PLUG,QCP,QUICK COUPLING PLUG,QUICK-CONNECT PLUG,Q-C PLUG,QUICK DISC PLUG
801,QUICK COUPLING B,QC-B,Q/C-B,QUICK CPLG B,QCPLG-B,Q.C.B,QUICK COUPLER B,Q/CPLG-B,QUICK CPL B,Q-CPLG-B,QUICK-CPLG-B
802,REAR FERRULE,RR FERRULE,BACK FERRULE,REAR FER,RR FER,BACK FER,R FERRULE,R FER,RFERRULE,RFER,BFERRULE
803,REDUCER ADAPTER,RED ADPT,REDUCER ADPT,RED ADAPTER,REDUCING ADAPTER,RDCR ADPTR,RED-ADPT,REDUCER-ADAPTER,REDUCING-ADAPTER,RDCR ADAPTER,REDUCING ADPTR
804,804. REDUCER PORT CONNECTOR,804 REDUCER PORT CONN,804 RED PORT CONN,804. RED PORT CONN,804 REDUCER CONNECTOR,804. RED CONNECTOR,804 RED CONN,804. REDUCER PORT,804 PORT CONN,804. PORT CONN,804 CONN
805,REDUCER UNION,RED UNION,RED UN,RDR UNION,REDUCING UNION,RDCR UNION,RDCR UN,RED-UN,REDC UN,RDR UN,RDCR-UN
806,REDUCING CONNECTOR,RED CONN,RED CONNECTOR,REDUCING CONN,RED CON,REDCON,RDC CONN,RDCON,RC,REDUCING CONNECTION,REDUCER CONNECTOR
807,REPAIR CLAMP,REP CLMP,REPAIR CLMP,REP CLP,RCLMP,REPAIR CLP,RPR CLAMP,RPR CLMP,RPR CLP,R CLAMP,R CLMP
808,ROLLED ANGLE,ROLL ANGLE,RLD ANGLE,ROLLD ANGLE,R/A,RL ANGLE,ROLL ANG,RLD ANG,R ANGLE,R/ANGLE,RLLD ANGLE
809,ROUND BAR,RD BAR,ROUND,RND BAR,R/BAR,RD B,RND B,BAR ROUND,BAR RD,BAR RND,R BAR
810,ROUND HANDLE,RND HANDLE,RND HDL,ROUND HDL,RD HANDLE,RD HDL,ROUND HANDL,RND HANDL,RD HANDL,R HANDLE,R HDL
811,SAMPLING,SAMP,SAMPLE,SAMPL.,SAMP.,SMPL,SMPL.,SMPG,SMPG.,SAMP POINT,SAMPLE POINT
812,SHORT FEMALE FERRULE,SHORT FEM FERRULE,SH FEM FERRULE,SH F FERRULE,SHORT F FERRULE,SHRT FEM FERRULE,SHRT F FERRULE,SF FERRULE,SFF,SHORT FEM FER,SHORT F FER
813,SHORT FERRULE,SHRT FER,SHT FER,SHORT FER,SH FER,S/FER,SH FERRULE,SHRT FERRULE,S FERRULE,SHT FERRULE,S/FERRULE
814,SHORT WELD FERRULE,SHORT WLD FERRULE,SH WELD FERRULE,SH WLD FERRULE,SHORT FERRULE,SH FERRULE,SW FERRULE,S/W FERRULE,SHRT WLD FERRULE,SHRT FERRULE,SH-WLD FERRULE
815,SIDE OUTLET,S.O.,SO,S/O,SIDE OUT,SIDEOUT,SIDE-OUT,S-O,SD OUTLET,SIDE O,S OUTLET
816,SINGLE PLUG,SNGL PLUG,SGL PLUG,S PLUG,1 PLUG,SINGLE PLG,SNGL PLG,SGL PLG,S PLG,1 PLG,PLUG
817,SINK,SNK,BASIN,WASHBASIN,WASH BASIN,WASH-BASIN,WASH SNK,WASH-SNK,WASH SINK,WASH-SINK,WASHING SINK
818,SLIP ON ANGLE,SO ANGLE,S/O ANGLE,S.O. ANGLE,SLIP-ON ANGLE,SOP ANGLE,S-O ANGLE,SO ANG,S/O ANG,SLPON ANGLE,SLIP ON ANG
819,SLIP ON STUB END,SO STUB END,SLIP-ON STUB END,SL/ON STUB END,SLIP ON SE,SO SE,SOSE,S.O.S.E.,SLIP-ON SE,SLIP/ON SE,SO STUB
820,SPOOL COUPLER,SPOOL CPLG,SPL CPLR,SPOOL COUPLING,SPL COUPLING,SPOOL-CPLG,SP CPLR,SP-CPLG,SPOOL-COUPLING,SPL-CPLG,SP COUPLING
821,STRAINER CONNECTOR,STRNR CONN,STR CONN,STRAINER CONN,STRNR CONNECTION,STR CONNECTION,STRAIN CONNECTOR,STR CONNECTOR,STRN CONN,STRNR CNT,STR CNT
822,STREET CONNECTOR,ST CONN,STR CONN,STREET CONN,ST CONNECTOR,STR CONNECTOR,STRT CONN,STRT CONNECTOR,ST CNT,STREET CNT,STR CNT
823,TAG,IDENTIFIER,MARKING,LABEL,ID TAG,IDENT TAG,PIPE TAG,EQUIPMENT TAG,NAME TAG,LINE TAG,IDENTIFICATION TAG
824,TAPE,TAPE,TPE,ADHESIVE TAPE,INDUSTRIAL TAPE,SEALING TAPE,PIPE TAPE,PTFE TAPE,TEFLON TAPE,THREAD TAPE,THREAD SEAL TAPE
825,THREADED PIPE PLUG,THD PIPE PLUG,THRD PIPE PLUG,THD PP,THRD PP,PIPE PLUG THD,PIPE PLUG THRD,PP THD,PP THRD,THREAD PP,THREADED PP
826,THREADED PLUG,THD PLUG,THRD PLUG,TH PLUG,THREADED PLG,THD PLG,THRD PLG,THREAD PLG,SCREWED PLUG,SCR PLUG,SCRW PLUG
827,TUBE CLAMP,TB CLMP,TUBE CLMP,TB CLP,TUBECLAMP,TUB CLAMP,TUBING CLAMP,T CLAMP,T-CLAMP,T/CLAMP,TUBE CLP
828,TUBE CONNECTOR,TC,TUBE CONN,TUB CONN,TUBE CONNECTION,TUBING CONNECTOR,TUBE FITTING,TBE CONN,TB CONN,TUBE COUPLING,TUB CPL
829,TUBE NUT,TUBING NUT,TUBE NT,TUB NT,COMPRESSION NUT,COMP NUT,TUBE FITTING NUT,TBE NT,TB NT,COMPRESSION FITTING NUT,COMP FTG NUT
830,UNION ELBOW 90,UNION ELL 90,UN ELL 90,UN ELBOW 90,UNION 90 ELL,UN 90 ELL,UNION 90 ELBOW,UN 90 ELBOW,90 UNION ELBOW,90 UNION ELL,90 UN ELL
831,UNIVERSAL CONNECTOR,UNIV CONN,UNI CONN,UNIV CONNECTOR,UNIVERSAL CONN,U CONN,UNIV CNT,UNI CNT,UNIVERSAL CNT,U CNT,UC
832,WATER HEATER CONNECTOR,WHC,WTR HTR CONN,WATER HTR CONNECTOR,W/H CONNECTOR,WH CONN,WATER HEATER CONN,H2O HEATER CONNECTOR,H2O HTR CONN,W.H.C.,WATER HTR CNT
